id,content,lang
81,PastorWantsAWife inflation OperationDudula ,en
82, He brings them to dudula illegal immigrants I guess,en
83, Well done MMC Please make sure those stalls are occupied by South Africans and please also look at Swazi Inn That place is overpopulated with foreigners,en
84,We present evidence call or WhatsApp us on  get that license easy Natasha KellyKhumalo CyrilMustResign Malume Mpofu AdvTeffo OperationDudula Chiefs SenzoMeyiwatrial Bonang Cathy RoyalAM ,en
85,Yini le engaka Kanti that makes South Africa to be different than other African countries Why the laws of this country cant be enforced without the country being blackmailed This is what causes the animosity between locals and foreigners ,en
86,"Talk about green with style A lovely mamba this


Mseleku Bonang Unisa OperationDudula SenzoMeyiwatrial Stage SABC CapitecPayMe kellykhumalo Adv Teffo ",en
87,Like i said foreigners are killing people ,en
88,   Thats true but it doesnt mean that foreigners pay zero in taxes Thats all Im pointing out Fact is we all pay VAT and fuel levies So when it comes to public services received we cant rely on unpaid taxes argument,en
89,OperationDudula Zyakhala ke manje Companies are PutSouthAficansFirst now ,en
90,"Zuma laughing at Fellow South Africans

nhlanhlalux OperationDudula AReece  Malume  Soweto  Mbali  mshololo PhalaPhalaFarm   Mpofu  Lee Khuzwayo  Zimbabwe  Dudula  ",zu
91,  Now youre talking illegal Youre supposed to say all illegal foreigners must go including our African Brothers who come illegal ,en
92,  Zimbabweans are not foreigners how do you call Zim foreigners in African ,en
93,"Awusabi Yini CardiB 
Track ID 
Road to K views on YouTube 

SenzoMeyiwatrial DloziLami Mnakwethu OperationDudula Loadshedding 
SenzoMeyiwatrial 
KellyKhumalo ",zu
94,"Our working minister is still cleaning all the rubbish after that we fight for changes in the constitution just wait and see

OperationDudula 
PutSouthAfricansFirst 
NoToZimWorkPermit ",en
95," Immigrants follow the normal way of life they find in their host nation
We should talk about that",en
96,  Jelasss,id
97, ,unknown
98, Verbal diarrhea,en
99,Just a kid from K tryna make it its  on all digital platforms please follow More music coming soon nhlanhlalux Jgermeister EnoughIsEnough ,en
100,   he is an enabler of this,en
101,  Until you understand Operation Dudula and how its Mandate you will Learn that before   becomes Operation Dudula like you say is a member of the Community and dont ever call Operation Dudula Names Enough now,en
102,The not only foreigners part skipped you ,en
103,nhlanhlalux ,zu
104,EFF is tryng hard to mislead people about OperationDudulaand putsouthafricafirst This youth are not agaisnt vendas and tsonga Dudula is doing wat julius said hell do when he wanted our votes and failed us ,en
105,  If you cant think for yourself now even after chasing away foreigners you will still be void of thought,en
106,What is so attractive about South Africa to foreigners Loadshedding crime and corruption but they seem to love this country nonetheless,en
107,"People kept supporting foreigners parties now they can reap what they were ploughing 

 and
 these parties show us their true colours but thinkless people still supporting them

Deal with terrorists on your own ",en
108,  Am Tsonga and is true most police officers are either Venda or Tsonga,en
109,"   Thats Nhlanhla Lux who divides Black communities and here is his lawyer Ike Khumalo also dividing Blacks based on place of origin and insulting them as amajappies Fist it was Africans then Basotho now Tsonga and Venda people  You can see their vids 

 ",en
110,   And while duduling you expect them not to retaliate,en
111,  That boi is very dangerous to our society,en
112,Illegal fire arms are not only carried by foreigners we have people from our nation who are having connections and access to such KZN is suffering the same issue because of those guns,en
113,      He is full of nonsense I hope their leader  will call this tribalism to order,en
114,  This is exactly it it was always going to progress to this all because of that thug Nhlanhla Lux,en
115,  as South Africans it seems we have allowed illegal foreigners without permit to enter our country and now  theyre Killing our innocent people SOUTH AFRICA is like a spaza shop as we dont have laws or take laws seriously,en
116, You must always refer that to the whites and illegal immigrants,en
117,  Dividing the native people of this land has failed the colonial group,en
118, Foreigners you mean the whites or something else ,en
119,"SECURE YOUR SPOT NOW
Light Weight Knotless Braids
WhatsApp 
The Reeds CenturionClose To Blue Valley Mall

GirlTalkZA nhlanhlalux BlackOwnedBusiness SurvivingTheNextSixMonths Mohale Somizi South Africans Nomzamo ",en
120,"SECURE YOUR SPOT NOW
Light Weight Knotless Braids
WhatsApp 
The Reeds CenturionClose To Blue Valley Mall

GirlTalkZA nhlanhlalux BlackOwnedBusiness SurvivingTheNextSixMonths Mohale Somizi South Africans Nomzamo ",en
121,"Small amp Modern Contemporary Home 

Get your Free Building  

Somizi  Maphorisa  nhlanhlalux Bolo Haram  CONGRATULATIONS NALE  Mohale  SurvivingTheNextSixMonths ",en
122,     they clearly missed it and dont bother telling them,en
123,"LeadersSnS Alexandra Sneakercleaner sneakercleaningservice johannesburg greenstonehill edenvale bramley modderfontein

 Check Bio

Maphorisa  Mpofu  nhlanhlalux ",af
124,"Theres brain inside  s head
Leadership patriot ",en
125, Its exploiting foreigners in Cape Town You hardly find a South African driver,en
126,   We may hate him but hey listen to him then you will realise that we are lost nation under black leadership,en
127,"Aa
Im selling colorful beads
R each
based in jozi CBD near uj campus 

support hustling Black student NalediMogadime Mrs Leo Grade  Tumi Tladi Boko Haram Limpopo Soweto nhlanhlalux  ",en
128,    No his not lying at all,en
129,FreshsFragrant is the unforgettable scent that you need to start your mornings with Order yours    keepingitfresh keepingitclean freshstylesa naledimogadime tumitladi sowetotarven sowetoshutdown Soweto Limpopo nhlanhlalux ,en
130,"Happiness moment after a long day 
DM for packages 

soweto nhlanhlalux Tumitladi XRepo AskAMan uMjoloWithAzola ",en
131,"I got another AMAPIANO FREESTYLE Well this Time Im with my boy Gunn
Soweto Amapiano nhlanhlalux CRBankStatements Bongane resign ",en
132,   im at home and its miss,en
133,nhlanhlalux sowetoshutdown sowetotarven OperationDudula in reverse Wimbledon EnyobeniTavern wits Ukraine ,en
134,"PhalaPhalaGateFarm nhlanhlalux Soweto tarven basotho foreigners katlehong

It was Zuma Nkandle children ",nso
135,"Are you experiencing excessive load shedding in your area
Solution wake up in the morning collect rocks and put the in the middle of the road You can also add burning tires I think it works
katlehong tumitladi nhlanhlalux BhekiCeleMustGo nomzamoTarven EnyobeniTavern",en
136,"   Guns in SA are plenty no need to smuggle anything Even taxi and rank marshals have guns and you blame foreigners 
When you are serious about ending this you will be truthful or open your eyes coz frankly now they are closed",en
137,Then this nhlanhla lux us an omnigod ,en
138,These are Basotho not foreigners ,en
139,   Youre kwarakwara remove your mask I see you ,en
140,   you speak french now,en
141,  and you blame EFF bro youre sick,en
142,   Let foreigners go back home and aow us to deal with our problems We have lived our life without being worried about foreigners we never invaded your countries,en
143,  Im only interested in Foreigners and  Malema ground force comments in this tweet ,en
144,"Katlehong Soweto tarven basotho foreigners
phalaphalagatefarm Johannesburg Pretoria santon 

Imagen if shops like this were in Soweto petermertizburg as for defense not in Pakistan my friend shop ",en
145, Salothane badu bekhethu Ruling party must deal with illegal Foreigners because its alleged that theyre the one killing South Africans in tarvens We need someone like Dr Aaron Motsoaledi Sabcnews MorningLive Legasa Butler Mollo Zebediela Makgophong,en
146,"Revamp your Cv 
 Cover letter to attract recruiters

DM 
Whatsapp link 

Terrorism  Foreigners  Msaki  Maphorisa  Thando  Zinhle  Gauteng  Tumi Tladi  Xenophobic  Lucky Dube  Afriforum  Jada  katlehong  uMjoloWithAzola  JobSeekersSA ",en
147," Ive been restoring Renewing car Headlights since   years 
 More than  clients went on Google and gave me 

This morning Im praying  for  retweets

Foreigners Soshanguve Maphorisa Katlehong eHostelaS Xhosa Dudula Tumi  Cyril Ramaphosa Malema ",en
148," Ive been restoring Renewing car Headlights since   years 
 More than  clients went on Google and gave me 

This morning Im praying  for  retweets

RHOCT  Soweto sstennis nhlanhlalux Malema foreigners Cyril Ramaphosa terrorists Kahlehog ",en
149, I knew foreigners will take the blame well before investigations are complete But carry on your agenda is known,en
150,  Someone is sending out those foreigners  They report somewhere,en
151,  We will never give up or surrender our country to foreign criminals never Our forefathers died fighting for this country for us to live and we will do the same for the sake of our children and grand children Asijiki patriots PutSouthAficansFirst OperationDudula,en
152,"It may be old but the fact of the matter is that the truth is foreigners do not respect our law enforcement agencies But when police react in the same similar manner they are branded brutal
If they are brutal then how should they protect themselves ",en
153,    They are equivalent to Zimbabweans to me some of them if not most are illegal immigrants in SA Thats all I need to know,en
154,"Government has to stop this terrorists unless very soon this terrorists will be attacking black cars with blue lights and they will be demanding money towns mines

 Our government can save us by only reinstating hang pole or death penalty

Basotho 
nhlanhlalux",en
155,          Keep going that the best you can do when you have nothing to say to ppl,en
156,          you are hiding by not saying who you are,en
157,          Im home my man  come,en
158,"          is that a threat
i think only weaker ppl do that and hide their identities",en
159,          a full tin can never be jealous of an empty one bcs it making noise,en
160,         unfortunately everyone will not be from your culture or religion  i wonder what culture it is which teaches to not respect or Religion that teaches to hat and discriminate others just take time to read me and you will see what RESPECT MEAN,en
161,Reality check no  is coming to save you by  ,en
162,          It can from dear PHD,en
163,         It is not your fault that you can not have good things coming out of the mouth beside insults hummmm ready sad,en
164,         yes it does  you joined my debate remember hahhahahha,en
165,Focus on what matters business work photo photography nhlanhlalux sundayvibes Video  check out my work here  new videos on the way enjoy Consider subscribing to support the channel Thanks  ,en
166,         so the constitution came from heaven  hummm but just a reminder  it is saying that you shouldnt discriminate ppl based of their believe of religion,en
167,         Did you know that you voted a constitution which do not discriminate ppl by their religion it is just a friendly reminder,en
168,        i knew it your grain will send you to swear and that shows how weak you are and that what makes the difference between us  Im sure you get it now,en
169,"        Oh hahhahahhaha so yiu mean all MPs are RATS  the whole Cabinet is full of RATs 
My question would be  are they non SA citizen if they are why are you qualifying yours that",en
170,"Police take bribes from Foreigners 
Police are scared of criminals
Police are obese 
Police cannot control crowds 
Police cant handle rape victims at Police Stations 
Police are afraid of YT ppl 

Bheki Cele is the least of our worries",en
171,        its not your fault but knowing who you are is a serious issue,en
172,I think foreigners have already moved in ,en
173,        And what has you vote profited to your own situation  because if it deed we wouldnt be talking here this way,en
174,         I wonder if you have taken time to read that law you are referring to,en
175, South Africa is riddled by lawlessness state capture steinhof PWC Pic etc crimes were not committed by foreigner it is cheap to suggest all crimes are committed by foreigners,en
176,        These foreigners are not their minions unfortunately they are an easy target Give you an example why youth have accepted R instead of demanding JOBS These politicians do know and understand the weakness of ppl and play in those lines,en
177,"        Im sure you know where you can bring fact and defend that case
My question is who are these POLITICIANS Who are these POLICE MEN AND WOMEN Are they foreigners 
To my knowledge NO I We want to heal SA we can not fight the symptoms but the ROOTS",en
178,As long as we still fight amongst each other as South Africans we will never win against crimes and the influx of illegal immigrants into our country NhlanhlaLux TheEFF,en
179,Crime in SA be it by citizens or foreigners is a direct result of lack of rule of law incapacitated law enforcement arms  corruption in all spheres of life The police arrest criminals but they can not take their prosecution to its logical conclusion,en
180,         Basic English hummmm we all know its not all our language unfortunately our laws are in English but we need to force ourselves and read,en
181,Xenophobia doesnt end with attacks on foreigners The profiling moves to whoever has darker skin We saw it happen during the xenophobic attacks This is such a scary situation man ,en
182,       Any private citizen may execute an arrest without a warrant on a person who commits or attempt sic to commit a schedule  offence A South African citizen may also arrest anyone attempting to escape lawful custody In the offence in the video Schedule ,en
183, Only fools and people desperate for positions follow this party Terrorists are the same illegal foreigners that you encouraged to find creative ways to get in the country ,en
184," your silence is too loud Mr president We have long requested mass deportation of illegal immigrants Do something

PutSouthAfricaFirst 
PutSouthAficansFirst ",en
185, Remember the vn that circulated about purporting to be foreigners organising something,en
186,The xenophobic lawless OperationDudula leader  has declared war on poor Blacks this t ii me he met with the organisation of the landless masses and he was shown his under full of holes nhlanhlalux ,en
187,"PRES PLAY  Here is the Whatsapp voice
message circulated Months ago mobilising foreigners from all African
countries
nhlanhlalux Foreigners  ",en
188," No you are deflecting FACT is crime was committed and should be dealt with such
Your Nhlanhla Lux arrived at the scene and declared the Basotho killed those people",en
189,   What solution is he presenting,en
190,"       That exactly not knowing what Citizen arrest mean I will ask you do go read more or consult with a lawyer for you to understand that it is and in what specific moment it can take place
What is in this video is just hummmm",en
191,"      There is no way you can speak about respecting the law if the person in the video is not the right person to ask for other ppls documentation 
And i bet the answer to this reply will just be out of order from lawless ppl 
Therefor lets go legal and debate",en
192,  Aowa Rakgadi okase disrespect ngwana omong so,nso
193,        what are they payed for if they are not willing to do their jobs the legal way to deal with they is to get them out of the system and employ young energetic who will do that and more jobs will be created,en
194,   When you are serious about getting to the bottom of it you shall stop naming faceless pple for your troubles If foreigners are that murderous why arent they in their own countries They suddenly start disrespecting human life sebe seGoli,en
195,"Nhlanhla Lux on the Soweto Tavern Shooting
Visuals  
sowetotavern nhlanhlalux ",zu
196, Not for sensitive listeners welcome to what the mining bosses are doing with illegal foreigners they use to smuggle good and then knock the knockers as u can hear mine boss goon self confessed Marc Bachelor shooter ,en
197,     Isnt it what they always tell us that crime is done by foreigners,en
198, Any bet if we as South Africans hijack buildings as illegal foreigners do with arrogance taking over blocks of flats that could have rather been taken over by our own,en
199,   Yes but no there is a trend of police threatening foreigners to take them to jail if they dont pay them money If you say you dont have money some beat you or plant evidence,en
200,Nhlanhla Lux I have never in all my years seen a true honest and genuine human being who truly cares and fights for freedom from oppression who has single handedly united SA citizens amp made a difference  ,en
201,"Zimbabweans doing as if they dont see whats happening in Sri lanka
PutSouthAficansFirst 
OperationDudula",en
202, For all foreigners in our country,en
203, Innercity Constituency did a Oversight visit and engagement with Residents of Ward  We need to Reenforce a Historic Rollout of Taking back Hijacked buildings from Illegal immigrants and Criminals to give residents Proper shelter   ,en
204,"  So every time when there is a stolen cable or damaged infrastructure are we gonna blame the foreigners what we as citizen do to protect our infrastructure

SA citizens are involved in theft of Govt infrastructureand damaging it",en
205,"Happening Elsewhere  Dudula Movement leader Nhlanhla Lux  delivering his remarks at the event to remember the six year old who fell into a manhole three weeks ago in Soweto

KhayalethuMagadla 
 ",en
206,"Operation Dudula members in Durban want refugee and asylum organisations to stop assisting foreign nationals

On Thursday about  members of Dudula marched to the Diakonia Centre building to hand over a memorandum of demands
OperationDudula
 ",en
207,"Operation Dudula is at the Diakonia Centre in Durban 

They are staging a protest against foreign nationals 

The centre is home to NGOs such as Refugee Social Services Black Sash and Lawyers for Human Rights and others eNCA ",en
208,A fly by night human rights activist who keeps scores of underpaid illegal immigrants in his employ cannot tell a veteran activist about human rights either even if the latter is failing or perceived to be failing Talking down to black people in that manner is racist too ,en
209,Zimbabweans must listen n  be sensible to concerns of others Black SA will not have African immigrant slavery  cheap labour laws nor will it allow exploitation of black bodied persons we dont care from which country they come from There is dignity in working the land go work ,en
210,"Get yourself a reliable  Plates Gas Stove 

Courier Available 
Whatsapp 

dingaan thobela  South Africans  BABALWA  Kelvin Momo  Sithelo  Midrand  Funani  Gigi  Bheki Cele  Trevor  Portia  The ANC  PastorWantsAWife  OperationDudula ",en
211,Why they have to compete with foreigners ,en
212,Where do we report suspected illegal immigrants There are many developing hotspots in Alberton Add suspected illegal electricity connection White people running away as neighbourhood is increasingly bought by foreigners  ,en
213,Millions of rands thats why they are quite about the influx of immigrants in the country ,en
214,  An immigrant chooses where and when to migrate or go back home can be legal or illegal irrespective of their skills or their documents or laws of the host country An asylum seeker is refugee whos forced to run for protection from danger and cannot return to their home country,en
215, Where in ,en
216, Illegal immigrants doing as they please,en
217,   Eish who said what,en
218,"South Africa is a lawless country
PutSouthAfricaFirst
OperationDudula
Zimbabweans
  ",en
219,"Soweto parlament 
Put South Africa first  
 ",en
220, a low life MF pm power is cut off eSenaone Kanjani and why we all dont know  How the hack does the switcher get this wrong  how     ,en
221, He was helping his brothers in hes a foreigner himself what did you expect  Why do you employ foreigners  what scarce skill is needed at Home Affairs  ,en
222,              ,unknown
223,What do illegal foreigners do for a living ,en
224,  Le dlala ka MaboneElectricity yet many Sowetans  do not pay,nso
225,Samuel Bulime Mubire alias Amon Ruben Kajumba from Kampala Uganda and Kenya he is a scammer I was recently threatened by his friends to be vigilant because I am exposing him I will rather die for warning my south African sisters than to be scammed by this peasants of foreigners ,en
226,"I believe the headless voters are enjoying everything happening in our country
High petrol price
Loadshedding stage 
High influx of immigrants
High unemployed S Africans
Drugs
Tarvens everywhere
Human trafficking
Cable thieves
All thanks to damn  voters ",en
227," Whaaat  Nay imihlolo isehlela bo  
PutSouthAfricaFirst 
OperationDudula 
Onsbaizanie",zu
228, Plse pay Bills so many lights on,en
229,   Incase u miss nigga ,en
230, why do you only employ foreign nationals at your Jean crossing store Weve  unemployment in South Africa for christ sake OperationDudula SorryJacobZuma NationalShutdown Electricity Ronaldo and Chelsea Ramaphosamustfall,en
231,  Even Anc wont touch illegal immigrants ku Nini sifuna umhlaba ,zu
232,Its time SAn take charge of SA to prevent the cost of living from ever increasing Our so called labour movements and political parties have failed The leades are busy securing the bag at the expense of the citizens and the poor   ,en
233,Without the buy in of TUT StudentsEFFOperationDudulaSANTACOKZN Looters just forget about NationalShutdown,en
234, These illegal traders and illegal foreigners sit nicely and watch our elected government officials walk past them  they have no sense of fear or shame,en
235,The problem in SA we study degrees that useless we complian about the unemployment we have foreigners in top positions because they have skills more qualified,en
236,  Foreigners are here at your invitation Mr President Drug syndicates have identified SA as a lucrative business hub for drugs and their target is our youth Stop playing lip service sort out the immigrationcrisis now ,en
237,A Malawian takes this job then he he he operation dudula ,en
238,  Or he can simply employ foreigners Everyone is happy,en
239,  We love Nhlanhla Lux get over it,en
240, Fascist  failed dismally in  holding   to account on collapsed  Hospitals  exposed during COVID Outbreak Now they gaslighting on   Illegal Foreigners burden expos  PutSouthAfricansFirst  ,en
241, Overpopulated by illegal immigrants infrastructure is deteriorating Crime is high Drugs are sold daylight by Nigerians Human Trafficking amp Prostitution Car Hijackings are abnormal high Unemployed extremely high Playground for Criminals of the world and Useless government ,en
242,Network providers r failing us Illegal immigrants r having phones,en
243,"Barita Minnie GogoSkhotheni mk is kill us PhalaPhalaGateFarm CyrilRamaphosamustgo OperationDudula 
Water in house seriously ",en
244, Im so nice to Zimbabweans and other foreigners ,en
245,"I was so happy to see a clean Park Station
OperationDudula 
PutSouthAfricansFirst ",en
246,"Honestly speaking OperationDudula  amp PutSouthAficansFirst movements started way back in 

We just didnt have a name or Twitter to scream our cries  long KWERE  fcuken years 

VoetsekANC amp offspring Malema  ",en
247,"  Im not putting you in i talking for me and those who love S AFRICA
PutSouthAfricansFirst
OperationDudula 
We get hurt when we see our country get destroyed wena dont even reply on my tweet bcs you are not affected",en
248,Then immigrants must remain in their countries to frustrate these white trillionaires The solution is very simple ,en
249,South Africans our beloved country is gone to illegal foreigners     sold it to Join Patriots as OperationDudula PutSouthAfricansFirst in reclaming it CitizensArrest      ,en
250,"They are ganging up to destroy S AFRICA
OperationDudula 
PutSouthAfricansFirst ",en
251, These are the consequences of those who continue removing and stealing municipal manholes destroying our infrastructure plus the future of our young future leaders Im so sorry your little life was cut so early RIP young man OperationDudula PutSouthAficansFirst VoetsekANC,en
252,"Have you ever get sick and go to a government health Cares system

If you stay behind the high walls just shut up bcs you dont know what kind of a burden caused by the influx of foreigners did to the poor S Africans ",en
253,    Gayton and Herman Not Malema,en
254, Is in Garankuwa extension  Tsunami in Molefe Makinta Highway Foreigners and building warehouse in the main road disturbing the traffic but nothing is being done about it also using illegal connections ,en
255,"   A well well see about that We heading towards a time of uncontrollable chaos where anything Zimbabweans gonna go The more you and your NGOs undermine us the more this becomes a reality permit or no permit 
OperationDudula 
PutSouthAficansFirst 
onsbaizanie ",en
256,I really always like to ask why Many of All Black Leaders Like To suffer the Black people amp the foreigners why what is wrong with LoadsheddingStage The whole Johannesburg CBD market are running a Generator Fix this Before it get Worse Eskom Tpainofmabo ,en
