id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
23,"There's a TikTok video of an old lady, mama who was talking about giving the foreigners land. I think she's Xhosa, I don't remember. I've been looking for that video I think they took it down.
She was talking about such shootings that they are coming, she said...",1,0,0,0,0,0
24,    The reason for missing women is not rape. It's human trafficking. Unfortunately it is a trade common among foreigners.,1,0,0,0,0,0
25,OperationDudula is backfiring (literally)... These mass shootings are orchestrated and executed (no pun) by natives from across borders. 😤😤,1,0,0,0,0,0
26, Operation Dudula is an organization of gangsters,0,0,0,0,0,0
27,"     No, he is not clueless, he doesn't give a fuk",1,0,0,0,0,0
28,"     Ask the question, 
When the law is wrong, and enforced, those in the know should stand by or challenge it. Zimbabwe treats it's citizens like cattle",1,0,0,0,0,0
29,    Because of the Zimbabwean tribal mindset,1,0,0,0,0,0
30,  Wenzani?🤔,1,0,0,0,0,0
31,"It not South Africans, it's these illegal immigrants fools with our fake or stolen documents, probably Zimbabweans ",1,0,0,0,0,0
32," Why only Africans, because they're many whites undocumented in this country. Mara o setlaela",1,0,0,0,0,0
33,It took few Mass Shootings to make Nhlanhla Lux realise that Crime is Crime it doesn't go with Nationality,0,0,0,0,0,0
34,    It's not Amashagane it's Matsonga,0,0,0,0,0,0
35, We will still carry on without him. Let us push compatriots PutSouthAficansFirst OperationDudula,1,0,0,0,0,0
36, They're not gon do that. Illegal immigrants who get ID documents vote for .,1,0,0,0,0,0
37,South Africans always come to the party later when they receive the same treatment from other countries🙄OperationDudula ,1,0,0,0,0,0
38, No one is above OperationDudula and we are not a cult.,1,0,0,0,0,0
39,Brixton Launch OperationDudula PutSouthAfricansFirst    ,0,0,0,0,0,0
40,Brixton Launch OperationDudula PutSouthAfricansFirst   ,0,0,0,0,0,0
41,    Njani manje Nhlanhla!???? ,0,0,0,0,0,0
42, But foreigners are our employers and they boss us around. Get my point?,0,0,0,0,0,0
43,"Most people miss Opportunity because it is dressed in overalls and looks like work.

Hard at work 💪 

GomoraMzansi lalela. Arthur zwane. Bafan bafana. OperationDudula  miss Sa. Eskom 2.0 Shona. Soshanguve. Unmarried. Berita. Kaizer chiefs. Nota ",0,0,0,0,0,0
44,Unmarried ManUnited Cyan OperationDudula Soshanguvhe ,0,0,0,0,0,0
45,Shona ManUnited Miss SA OperationDudula Cyan ,0,0,0,0,0,0
46," The initial tweet has a problem with a foreigner giving instructions in SA.

My response is he doesn't have a problem when white people(being foreigners) giving instructions.",1,0,0,0,0,0
47,   Exactly foreigners have no choice but to tolerate their bullshit and when foreigners are tired they kill them and they cry farm murderers.,1,0,0,0,0,0
48,"1. I've been restoring /Renewing car Headlights since 2012 (10 years) 
2. More than 30 clients went on Google and gave me 5🌟🌟🌟🌟🌟
This morning Im praying 🙏🏾 for 1000 retweets.

operationdudula Arthur Zwane Berita Blaq Diamond Eskom 2.0 Nota SABC Zimbos Venda PodcastAndChill ",1,0,0,0,0,0
49, Yep indeed we do may I please put the cherry on top of this cake ? Almost half are illegal foreigners too. In one way or another  invites them and we pay for it in theory he is taking on the whole population of SA citizens,0,0,0,0,0,0
50,Strange uber and pvt security both demanding increase BOTH ARE PREDOMINANTLY ILLEGAL FOREIGNERS EMPLOYED  hey asshole we used to chaos its not working you and your zimbos voetsek u in big kak in 30min    ,1,0,0,0,0,0
51,"You Anti Africans will not deceive us anymore, you commit crimes, kill people and run to social media to make ridiculous 's saying it's foreigners who are shooting people in Tarvens and Townships. You all getting paid to protect the real criminals OperationDudula murderers. ",1,0,0,0,0,0
52,"  Hence we need to fix that, get our house in order. Foreigners took our generosity for granted and its now time clean house",1,0,0,0,0,0
53,"But S Africans will get their Jobs back 
That 100% foreigners school teachers occupied jobs that supposed to being given  to millions of unemployed S AFRICAN teachers

No country allow this kind of rubbish 

They add 90% of our problems in this country he is more than right ",0,0,0,0,0,0
54,"These mass shootings are tribal wars ..just like in the 90s...Lets not try to search far...Connect the dots..
We say its foreigners mara ayi this is a tribal thing.",0,0,0,0,0,0
55,"  your father is heartless my brother  take your government to court for human rights violation  hey fraudster, look at your government PutSouthAfricaFirst OperationDudula Zimbabweans",0,0,0,0,0,0
56,  Salotšhane badu bekhethu. Let government start by dealing with illegal Foreigners because it's alleged that they are the one bringing unlicensed fire arm in South Africa. Legasa Butler Mollo Zebediela Makgophong sabcnews Fullview,0,0,0,0,0,0
57,  Vele we are going to close our borders so that South African criminals can rot in jail and not be released early because prisons are 33% overcrowded. Foreigners are adding 2 our crime,0,0,0,0,0,0
58,"More hands guys...Those non perishable food, clothing and soup for the drive. Oh and Kids Toy’s 
 OperationDudula EFFPresser RamaphosaMustGo NationalShutdown  Soweto ",0,0,0,0,0,0
59,"Bathande Bonke visuals now on YouTube.Please kindly check it out.


cyan mihlali CyrilMustGo CyrilMustResign BlaqDiamond KellyKhumalo Alexandra OperationDudula LuthuliHouse ",0,0,0,0,0,0
60," And foreigners were not here when we were chased by this car, now they are busy taking our government to court for being in SA illegally mxm",1,0,0,0,0,0
61,"He is in South Africa 🇿🇦 the world's capital city of Crime &amp; illegal foreigners &amp; fugitives &amp; terrorist groups &amp; drug dealers &amp; murderers &amp; rapists &amp; bank robbers &amp; human traffickers. LOOK NO FURTHER ALL THE CRIMINALS RUN TO SOUTH AFRICA, NELSON MANDELA'S LAND OF MILK AND HONEY ",1,0,0,0,0,0
62,OperationDudula ,1,0,0,0,0,0
63,   Xhosa boys,0,0,0,0,0,0
64,"  It's soft because they are beating Xhosa boys
Foreigners would be dead by the end of that clip",0,0,0,0,0,0
65,  Maybe you don't know what you talking about. illegal foreigners from Somalia and Kenya are being smuggled at that border,0,0,0,0,0,0
66,Make your life simple. Simplify your deliveries with us NationalShutdown OperationDudula PodcastAndChill podcastandchillwithmacg mihlali PhalaPhalaFarmGate PhalaPhalaFarm ,0,0,0,0,0,0
67,"PutSouthAfricaFirst means 

1. Stopping corruption and lawlessness
2. Stopping illegal immigrants 

No country can survive these two plagues",1,0,0,0,0,0
68,These are the creative ways of  by illegal foreigners to enter South Africa ,0,0,0,0,0,0
69,"Bafwethu we can't fight foreigners, I just saw disturbing videos and it is sad",1,0,0,0,0,0
70,"   Getting emotional won't help, problem is yall want to address SAns problems on Twitter, while the reality is Foreigners are willing to take this while wena o bolaya ke tlala ka pride nyana ya masepa jou bloody swine",1,0,0,0,0,0
71,Thank you Ntate Aaron Motsoaledi of homeAffairs indeed we are ready for the 31 of December 2022. PutSouthAfricaFirst OperationDudula homeAffairs beitbrige. Mass deportation of illegal aliens must commence as soon the 1st of January 2023    ,1,0,0,0,0,0
72,    Well they are not,1,0,0,0,0,0
73,    Nope,1,0,0,0,0,0
74,     They are definitely not Xhosa though,1,0,0,0,0,0
75,"   u talking kaak. the problem is yall not willing to address this bullshit salary, busy telling people they should accept it cos foreigners will",0,0,0,0,0,0
76, Oksalayo your grandparents are foreigners n that will never change.,1,0,0,0,0,0
77,As you hate S Africans bcs they kill your family members don't blame those who hate foreigners for robbing and killing S Africans just keep quiet bcs those who Lost their family member in the hands of Foreigners will never please you by keeping quiet ,1,0,0,0,0,0
78,"Lower Taxation in South Africa: Minister Enoch Godongwana () and SARS () - Sign the Petition!

SouthAfricanMorning OperationDudula
orlandoshooting

 via ",1,0,0,0,0,0
79,I really like this illegal foreigners narrative in this Country. It has definitely exposed the media to what it is. ,1,0,0,0,0,0
80,😁😁😁😁 Nhlanha lux blame foreigner for everything even the high petrol is caused by foreigners,0,0,0,0,0,0
81,PastorWantsAWife inflation OperationDudula ,1,0,0,0,0,0
82, He brings them to dudula illegal immigrants I guess,1,0,0,0,0,0
83, Well done MMC. Please make sure those stalls are occupied by South Africans and please also look at Swazi Inn. That place is overpopulated with foreigners.,0,0,0,0,0,0
84,"We present evidence, call or WhatsApp us on 0791254941 get that license easy Natasha KellyKhumalo CyrilMustResign Malume Mpofu AdvTeffo OperationDudula Chiefs SenzoMeyiwatrial Bonang Cathy RoyalAM ",1,0,0,0,0,0
85,Yini le engaka Kanti that makes South Africa to be different than other African countries. Why the laws of this country can't be enforced without the country being blackmailed? This is what causes the animosity between locals and foreigners. ,1,0,0,0,0,0
86,"Talk about green with style! A lovely mamba this
.
.
Mseleku Bonang Unisa OperationDudula SenzoMeyiwatrial Stage SABC CapitecPayMe kellykhumalo Adv Teffo ",0,0,0,0,0,0
87,Like i said foreigners are killing people ,1,0,0,0,0,0
88,"   That's true, but it doesn't mean that foreigners pay zero in taxes. That's all I'm pointing out. Fact is we all pay VAT and fuel levies. So when it comes to public services received we can't rely on unpaid taxes argument.",1,0,0,0,0,0
89,OperationDudula Zyakhala ke manje. Companies are PutSouthAficansFirst now. ,0,0,0,0,0,0
90,"Zuma laughing at Fellow South Africans😂😂🤦

nhlanhla_lux OperationDudula A-Reece / Malume / Soweto / Mbali / mshololo/ PhalaPhalaFarm  / Mpofu / Lee Khuzwayo / Zimbabwe / Dudula  ",0,0,0,0,0,0
91,  Now you're talking illegal. You're supposed to say all illegal foreigners must go including our African Brothers who come illegal .,0,0,0,0,0,0
92,"  Zimbabweans are not foreigners ,how do you call Zim foreigners in African ?",0,0,0,0,0,0
93,"Awusabi Yini CardiB 🔞
Track ID: 
Road to 10K views on YouTube 

SenzoMeyiwatrial DloziLami Mnakwethu OperationDudula Loadshedding 
SenzoMeyiwatrial 
KellyKhumalo ",0,0,0,0,0,0
94,"Our working minister is still cleaning all the rubbish after that we fight for changes in the constitution just wait and see

OperationDudula 
PutSouthAfricansFirst 
NoToZimWorkPermit ",0,0,0,0,0,0
95," Immigrants follow the normal way of life they find in their host nation....
We should talk about that.",1,0,0,0,0,0
96,  Jelasss,1,0,0,0,0,0
97, ,0,0,0,0,0,0
98, Verbal diarrhea,0,0,0,0,0,0
99,"Just a kid from K1 tryna make it, it's  on all digital platforms please follow! More music coming soon! nhlanhla_lux Jägermeister EnoughIsEnough ",1,0,0,0,0,0
100,   he is an enabler of this,1,0,0,0,0,0
101,"  Until you understand Operation Dudula and how its Mandate you will Learn that before   becomes Operation Dudula like you say is a member of the Community and dont ever call Operation Dudula Names, Enough now.",1,0,0,0,0,0
102,"The ""not only foreigners"" part skipped you ",1,0,0,0,0,0
103,nhlanhla_lux ,0,0,0,0,0,0
104,EFF is tryng hard to mislead people about OperationDudula.and putsouthafricafirst. This youth are not agaisnt vendas and tsonga. Dudula is doing wat julius said hell do when he wanted our votes and failed us. ,1,0,0,0,0,0
105,"  If you can't think for yourself now, even after chasing away foreigners, you will still be void of thought.",1,0,0,0,0,0
106,"What is so attractive about South Africa to foreigners? Loadshedding, crime and corruption but they seem to love this country nonetheless.",1,0,0,0,0,0
107,"People kept supporting foreigners parties now they can reap what they were ploughing 

 and
 these parties show us their true colours but thinkless people still supporting them

Deal with terrorists on your own ",1,0,0,0,0,0
108,  Am Tsonga and is true most police officers are either Venda or Tsonga,1,0,0,0,0,0
109,"   That's Nhlanhla Lux who divides Black communities and here is his lawyer Ike Khumalo also dividing Blacks based on place of origin and insulting them as amajappies. Fist it was Africans, then Basotho now Tsonga and Venda people . You can see their vids .

👇👇 ",0,0,0,0,0,0
110,"   And while duduling, you expect them not to retaliate?",1,0,0,0,0,0
111,  That boi is very dangerous to our society.,0,0,0,0,0,0
112,"Illegal fire arms are not only carried by foreigners we have people from our nation who are having connections and access to such, KZN is suffering the same issue because of those guns",0,0,0,0,0,0
113,      He is full of nonsense. I hope their leader  will call this tribalism to order.,0,0,0,0,0,0
114,"  This is exactly it, it was always going to progress to this, all because of that thug Nhlanhla Lux",1,0,0,0,0,0
115,  as South Africans it seems we have allowed illegal foreigners without permit to enter our country and now  they're Killing our innocent people. SOUTH AFRICA is like a spaza shop as we don't have laws or take laws seriously.,1,0,0,0,0,0
116, You must always refer that to the whites and illegal immigrants.,0,0,0,0,0,0
117,  Dividing the native people of this land has failed the colonial group.,0,0,0,0,0,0
118," Foreigners, you mean the whites or something else. ",0,0,0,0,0,0
119,"!!!SECURE YOUR SPOT NOW!!!
🔥Light Weight Knotless Braids🔥
WhatsApp 0614851182☎️
📍The Reeds Centurion(Close To Blue Valley Mall)

GirlTalkZA nhlanhla_lux BlackOwnedBusiness SurvivingTheNextSixMonths Mohale Somizi South Africans Nomzamo ",1,0,0,0,0,0
120,"!!!SECURE YOUR SPOT NOW!!!
🔥Light Weight Knotless Braids🔥
WhatsApp 0614851182☎️
📍The Reeds Centurion(Close To Blue Valley Mall)

GirlTalkZA nhlanhla_lux BlackOwnedBusiness SurvivingTheNextSixMonths Mohale Somizi South Africans Nomzamo ",0,0,0,0,0,0
121,"Small &amp; Modern Contemporary Home 

Get your Free Building 𝗘𝘀𝘁𝗶𝗺𝗮𝘁𝗶𝗼𝗻 

Somizi , Maphorisa , nhlanhla_lux Bolo Haram , CONGRATULATIONS NALE , Mohale , SurvivingTheNextSixMonths ",0,0,0,0,0,0
122,     🤣🤣🤣🤣🤣they clearly missed it and dont bother telling them!,0,0,0,0,0,0
123,"LeadersSnS Alexandra Sneakercleaner sneakercleaningservice johannesburg greenstonehill edenvale bramley modderfontein

📲 Check Bio

Maphorisa | Mpofu | nhlanhla_lux ",1,0,0,0,0,0
124,"There's brain inside  's head
Leadership patriot ",1,0,0,0,0,0
125, It’s exploiting foreigners in Cape Town. You hardly find a South African driver.,0,0,0,0,0,0
126,   We may hate him but hey listen to him then you will realise that we are lost nation under black leadership,0,0,0,0,0,0
127,"Aa!
I'm selling colorful beads
R20 each
based in jozi CBD near uj campus. 
0712710962
support hustling Black student. NalediMogadime Mrs Leo. Grade 12. Tumi Tladi. Boko Haram. Limpopo. Soweto. nhlanhla_lux  ",1,0,0,0,0,0
128,    No his not lying at all,0,0,0,0,0,0
129,FreshsFragrant is the unforgettable scent that you need to start your mornings with. Order yours  063-347 3302 keepingitfresh keepingitclean freshstylesa naledimogadime tumitladi sowetotarven sowetoshutdown Soweto Limpopo nhlanhla_lux ,0,0,0,0,0,0
130,"Happiness moment after a long day 
DM for packages 

soweto nhlanhla_lux Tumitladi XRepo AskAMan uMjoloWithAzola ",0,0,0,0,0,0
131,"I got another AMAPIANO FREESTYLE. Well this Time I'm with my boy Gunn🔥🔥🔥
Soweto Amapiano nhlanhla_lux CR17BankStatements Bongane resign ",1,0,0,0,0,0
132,"   im at home, and its miss",1,0,0,0,0,0
133,nhlanhla_lux sowetoshutdown sowetotarven OperationDudula in reverse Wimbledon EnyobeniTavern wits Ukraine ,0,0,0,0,0,0
134,"PhalaPhalaGateFarm nhlanhla_lux Soweto tarven basotho foreigners katlehong

It was Zuma Nkandle children ",1,0,0,0,0,0
135,"Are you experiencing excessive load shedding in your area?
Solution: wake up in the morning, collect rocks and put the in the middle of the road. You can also add burning tires. I think it works.
katlehong tumitladi nhlanhla_lux BhekiCeleMustGo nomzamoTarven EnyobeniTavern",0,0,0,0,0,0
136,"   Guns in SA are plenty, no need to smuggle anything. Even taxi and rank marshals have guns and you blame foreigners! 
When you are serious about ending this you will be truthful or open your eyes coz frankly now they are closed",1,0,0,0,0,0
137,Then this nhlanhla lux us an omnigod ,1,0,0,0,0,0
138,These are Basotho not foreigners ,1,0,0,0,0,0
139,"   You're kwara-kwara, remove your mask I see you. ",1,0,0,0,0,0
140,   you speak french now?,1,0,0,0,0,0
141,  and you blame EFF? bro you're sick,0,0,0,0,0,0
142,"   Let foreigners go back home and aow us to deal with our problems. We have lived our life without being worried about foreigners, we never invaded your countries",1,0,0,0,0,0
143,  I'm only interested in Foreigners and  Malema ground force comments in this tweet. ,1,0,0,0,0,0
144,"Katlehong Soweto tarven basotho foreigners
phalaphalagatefarm Johannesburg Pretoria santon 

Imagen if shops like this we're in Soweto petermertizburg as for defense not in Pakistan my friend shop ",0,0,0,0,0,0
145, Salotšhane badu bekhethu. Ruling party must deal with illegal Foreigners because it's alleged that they're the one killing South Africans in tarvens. We need someone like Dr Aaron Motsoaledi. Sabcnews MorningLive Legasa Butler Mollo Zebediela Makgophong,1,0,0,0,0,0
146,"Revamp your Cv 
+ Cover letter to attract recruiters.

DM 📲
Whatsapp link: 

Terrorism | Foreigners | Msaki | Maphorisa | Thando | Zinhle | Gauteng | Tumi Tladi | Xenophobic | Lucky Dube | Afriforum | Jada | katlehong | uMjoloWithAzola | JobSeekersSA ",1,0,0,0,0,0
147,"1. I've been restoring /Renewing car Headlights since 2012 (10 years) 
2. More than 30 clients went on Google and gave me 5🌟🌟🌟🌟🌟

This morning Im praying 🙏🏾 for 1000 retweets.

Foreigners Soshanguve Maphorisa Katlehong eHostelaS3 Xhosa Dudula Tumi  Cyril Ramaphosa Malema ",0,0,0,0,0,0
148,"1. I've been restoring /Renewing car Headlights since 2012 (10 years) 
2. More than 30 clients went on Google and gave me 5🌟🌟🌟🌟🌟

This morning Im praying 🙏🏾 for 1000 retweets.

RHOCT  Soweto sstennis nhlanhla_lux Malema foreigners Cyril Ramaphosa terrorists Kahlehog ",0,0,0,0,0,0
149," I knew foreigners will take the blame well before investigations are complete. But carry on, your agenda is known.",0,0,0,0,0,0
150,  Someone is sending out those foreigners.  They report somewhere,1,0,0,0,0,0
151,"  We will never give up or surrender our country to foreign criminals, never. Our forefathers died fighting for this country for us to live and we will do the same for the sake of our children and grand children. Asijiki patriots. PutSouthAficansFirst OperationDudula",1,0,0,0,0,0
152,"It may be old but the fact of the matter is that the truth is foreigners do not respect our law enforcement agencies. But when police react in the same similar manner they are branded ""brutal"".
If they are brutal then how should they protect themselves. ",1,0,0,0,0,0
153,"    They are equivalent to Zimbabweans to me, some of them if not most, are illegal immigrants in SA. That's all I need to know.",1,0,0,0,0,0
154,"Government has to stop this terrorists, unless very soon this terrorists will be attacking black cars with blue lights and they will be demanding money, towns, mines.

 Our government can save us by only reinstating hang pole or death penalty.

Basotho 
nhlanhla_lux",1,0,0,0,0,0
155,          Keep going that the best you can do when you have nothing to say to ppl,1,0,0,0,0,0
156,          you are hiding by not saying who you are,1,0,0,0,0,0
157,"          I'm home my man , come",1,0,0,0,0,0
158,"          is that a threat?
i think only weaker ppl do that and hide their identities",1,0,0,0,0,0
159,          a full tin can never be jealous of an empty one bcs it making noise,0,0,0,0,0,0
160,         unfortunately everyone will not be from your culture or religion . i wonder what culture it is which teaches to not respect or Religion that teaches to hat and discriminate others. just take time to read me and you will see what RESPECT MEAN,0,0,0,0,0,0
161,"""Reality check, no 1 is coming to save you"" by  ",0,0,0,0,0,0
162,          It can from? dear PHD,0,0,0,0,0,0
163,         It is not your fault that you can not have good things coming out of the mouth beside insults hummmm ready sad,0,0,0,0,0,0
164,"         yes it does , you joined my debate remember hahhahahha",0,0,0,0,0,0
165,"Focus on what matters! business work photo photography nhlanhla_lux sundayvibes Video  check out my work here:  new videos on the way, enjoy. Consider subscribing to support the channel. Thanks 💯🔥💥🤙🏾🎊🎉 ",0,0,0,0,0,0
166,"         so the constitution came from heaven ? hummm but just a reminder , it is saying that you shouldn't discriminate ppl based of their believe of religion",0,0,0,0,0,0
167,         Did you know that you voted a constitution which do not discriminate ppl by their religion? it is just a friendly reminder,0,0,0,0,0,0
168,        i knew it your grain will send you to swear and that shows how weak you are and that what makes the difference between us . I'm sure you get it now,1,0,0,0,0,0
169,"        Oh, hahhahahhaha so yiu mean all MPs are RATS , the whole Cabinet is full of RATs? 
My question would be : are they non SA citizen? if they are why are you qualifying yours that?",1,0,0,0,0,0
170,"Police take bribes from Foreigners 
Police are scared of criminals
Police are obese 
Police cannot control crowds 
Police can't handle rape victims at Police Stations 
Police are afraid of YT ppl 

Bheki Cele is the least of our worries.",1,0,0,0,0,0
171,        it's not your fault but knowing who you are is a serious issue.,0,0,0,0,0,0
172,I think foreigners have already moved in ,1,0,0,0,0,0
173,        And what has you vote profited to your own situation ? because if it deed we wouldn't be talking here this way,1,0,0,0,0,0
174,         I wonder if you have taken time to read that law you are referring to.,0,0,0,0,0,0
175," South Africa is riddled by lawlessness, state capture, steinhof, PWC, Pic etc crimes were not committed by foreigner, it is cheap to suggest all crimes are committed by foreigners.",0,0,0,0,0,0
176,"        These foreigners are not their minions, unfortunately they are an easy target. Give you an example why youth have accepted R350 instead of demanding JOBS? These politicians do know and understand the weakness of ppl and play in those lines.",1,0,0,0,0,0
177,"        I'm sure you know where you can bring fact and defend that case.
My question is who are these POLITICIANS? Who are these POLICE MEN AND WOMEN? Are they foreigners? 
To my knowledge NO. I We want to heal SA we can not fight the symptoms but the ROOTS",0,0,0,0,0,0
178,"As long as we still fight amongst each other as South Africans, we will never win against crimes, and the influx of illegal immigrants into our country. Nhlanhla_Lux TheEFF",1,0,0,0,0,0
179,"Crime in SA, be it by citizens or foreigners, is a direct result of lack of rule of law, incapacitated law enforcement arms,  corruption in all spheres of life. The police arrest criminals but they can not take their prosecution to it's logical conclusion.",1,0,0,0,0,0
180,         Basic English hummmm we all know it's not all our language unfortunately our laws are in English but we need to force ourselves and read,1,0,0,0,0,0
181,Xenophobia doesn’t end with attacks on foreigners. The profiling moves to whoever has darker skin. We saw it happen during the xenophobic attacks. This is such a scary situation man. ,0,0,0,0,0,0
182,"       ""Any private citizen may execute an arrest without a warrant on a person who commits or attempt [sic] to commit a schedule 1 offence. A South African citizen may also arrest anyone attempting to escape lawful custody."" In the offence in the video Schedule1 ?",0,0,0,0,0,0
183, Only fools and people desperate for positions follow this party. Terrorists are the same illegal foreigners that you encouraged to find creative ways to get in the country. ,1,0,0,0,0,0
184," your silence is too loud, Mr president. We have long requested mass deportation of illegal immigrants. Do something!

PutSouthAfricaFirst 
PutSouthAficansFirst ",1,0,0,0,0,0
185, Remember the vn that circulated about purporting to be foreigners organising something?,1,0,0,0,0,0
186,The xenophobic lawless OperationDudula leader  has declared war on poor Blacks this t ii me he met with the organisation of the landless masses and he was shown his under full of holes nhlanhla_lux ,1,0,0,0,0,0
187,"PRES PLAY|  Here is the Whatsapp voice
message circulated Months ago mobilising foreigners from all African
countries
nhlanhla_lux Foreigners  ",0,0,0,0,0,0
188," No, you are deflecting. FACT is crime was committed and should be dealt with such.
Your Nhlanhla Lux arrived at the scene and declared the Basotho killed those people.",1,0,0,0,0,0
189,   What solution is he presenting?,0,0,0,0,0,0
190,"       That exactly not knowing what Citizen arrest mean. I will ask you do go read more or consult with a lawyer for you to understand that it is and in what specific moment it can take place.
What is in this video is just hummmm",0,0,0,0,0,0
191,"      There is no way you can speak about respecting the law if the person in the video is not the right person to ask for other ppl's documentation. 
And i bet the answer to this reply will just be out of order from lawless ppl. 
Therefor let's go legal and debate",0,0,0,0,0,0
192,  Aowa Rakgadi okase disrespect ngwana omong so...,0,0,0,0,0,0
193,        what are they payed for? if they are not willing to do their jobs the legal way to deal with they is to get them out of the system and employ young energetic who will do that and more jobs will be created.,0,0,0,0,0,0
194,"   When you are serious about getting to the bottom of it, you shall stop naming faceless pple for your troubles. If foreigners are that murderous, why arent they in their own countries? They suddenly start disrespecting human life sebe seGoli?",0,0,0,0,0,0
195,"Nhlanhla Lux on the Soweto Tavern Shooting
Visuals : 
sowetotavern nhlanhlalux ",0,0,0,0,0,0
196, Not for sensitive listeners welcome to what the mining bosses are doing with illegal foreigners they use to smuggle good and then knock the knockers as u can hear mine boss goon self confessed Marc Bachelor shooter ,0,0,0,0,0,0
197,     Isnt it what they always tell us that crime is done by foreigners?,0,0,0,0,0,0
198, Any bet if we as South Africans hijack buildings as illegal foreigners do with arrogance taking over blocks of flats that could have rather been taken over by our own!,0,0,0,0,0,0
199,   Yes but no there is a trend of police threatening foreigners to take them to jail if they don’t pay them money. If you say you don’t have money some beat you or plant “evidence”.,0,0,0,0,0,0
200,Nhlanhla Lux I have never in all my years seen a true honest and genuine human being who truly cares and fights for freedom from oppression who has single handedly united SA citizens &amp; made a difference  ,0,0,0,0,0,0
201,"Zimbabweans doing as if they don't see what's happening in Sri lanka
PutSouthAficansFirst 
OperationDudula",0,0,0,0,0,0
202, For all foreigners in our country,0,0,0,0,0,0
203," Inner-city Constituency did a Oversight visit and engagement with Residents of Ward 61, We need to Re-enforce a Historic Roll-out of Taking back Hijacked buildings from Illegal immigrants and Criminals to give residents Proper shelter   ",0,0,0,0,0,0
204,"  So every time when there is a stolen cable ,or damaged infrastructure are we gonna blame the foreigners ,what we as citizen do to protect our infrastructure?

SA citizens are involved in theft of Govt infrastructure,and damaging it",0,0,0,0,0,0
